Date,Open,High,Low,Close,,,Volume,Adj Close
7/1/2016,17924.24023,18002.38086,17916.91016,17949.36914,25.128907,1,82160000,17949.36914
6/30/2016,17712.75977,17930.60938,17711.80078,17929.99023,217.230468,1,133030000,17929.99023
6/29/2016,17456.01953,17704.50977,17456.01953,17694.67969,238.660157,1,106380000,17694.67969
6/28/2016,17190.50977,17409.7207,17190.50977,17409.7207,219.210937,1,112190000,17409.7207
6/27/2016,17355.21094,17355.21094,17063.08008,17140.24023,-214.970704,0,138740000,17140.24023
6/24/2016,17946.63086,17946.63086,17356.33984,17400.75,-545.880859,0,239000000,17400.75
6/23/2016,17844.10938,18011.07031,17844.10938,18011.07031,166.960937,1,98070000,18011.07031
6/22/2016,17832.66992,17920.16016,17770.35938,17780.83008,-51.839844,0,89440000,17780.83008
6/21/2016,17827.33008,17877.83984,17799.80078,17829.73047,2.400391,1,85130000,17829.73047
6/20/2016,17736.86914,17946.35938,17736.86914,17804.86914,68,1,99380000,17804.86914
6/17/2016,17733.43945,17733.43945,17602.7793,17675.16016,-58.279297,0,248680000,17675.16016
6/16/2016,17602.23047,17754.91016,17471.28906,17733.09961,130.86914,1,91950000,17733.09961
6/15/2016,17703.65039,17762.96094,17629.00977,17640.16992,-63.480469,0,94130000,17640.16992
6/14/2016,17710.76953,17733.91992,17595.78906,17674.82031,-35.949219,0,93740000,17674.82031
6/13/2016,17830.5,17893.2793,17731.34961,17732.48047,-98.019531,0,101690000,17732.48047
6/10/2016,17938.82031,17938.82031,17812.33984,17865.33984,-73.480468,0,90540000,17865.33984
6/9/2016,17969.98047,18005.2207,17915.88086,17985.18945,15.208984,1,69690000,17985.18945
6/8/2016,17931.91016,18016,17931.91016,18005.05078,73.140625,1,71260000,18005.05078
6/7/2016,17936.2207,18003.23047,17936.2207,17938.2793,2.058594,1,78750000,17938.2793
6/6/2016,17825.68945,17949.67969,17822.81055,17920.33008,94.640625,1,71870000,17920.33008
6/3/2016,17799.80078,17833.16992,17689.67969,17807.06055,7.259766,1,82270000,17807.06055
6/2/2016,17789.05078,17838.56055,17703.55078,17838.56055,49.509766,1,75560000,17838.56055
6/1/2016,17754.55078,17809.17969,17664.78906,17789.66992,35.119141,1,78530000,17789.66992
5/31/2016,17891.5,17899.24023,17724.0293,17787.19922,-104.300781,0,147390000,17787.19922
5/27/2016,17826.84961,17873.2207,17824.73047,17873.2207,46.371094,1,73190000,17873.2207
5/26/2016,17859.51953,17888.66016,17803.82031,17828.28906,-31.230469,0,68940000,17828.28906
5/25/2016,17735.08984,17891.71094,17735.08984,17851.50977,116.419922,1,79180000,17851.50977
5/24/2016,17525.18945,17742.58984,17525.18945,17706.05078,180.861328,1,86480000,17706.05078
5/23/2016,17507.03906,17550.69922,17480.05078,17492.92969,-14.109374,0,87790000,17492.92969
