,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S
0,No,3,22.0,1,0,7.25,1,0,1
1,Yes,1,38.0,1,0,71.2833,0,0,0
2,Yes,3,26.0,0,0,7.925,0,0,1
3,Yes,1,35.0,1,0,53.1,0,0,1
4,No,3,35.0,0,0,8.05,1,0,1
5,No,3,24.0,0,0,8.4583,1,1,0
6,No,1,54.0,0,0,51.8625,1,0,1
7,No,3,2.0,3,1,21.075,1,0,1
8,Yes,3,27.0,0,2,11.1333,0,0,1
9,Yes,2,14.0,1,0,30.0708,0,0,0
10,Yes,3,4.0,1,1,16.7,0,0,1
11,Yes,1,58.0,0,0,26.55,0,0,1
12,No,3,20.0,0,0,8.05,1,0,1
13,No,3,39.0,1,5,31.275,1,0,1
14,No,3,14.0,0,0,7.8542,0,0,1
15,Yes,2,55.0,0,0,16.0,0,0,1
16,No,3,2.0,4,1,29.125,1,1,0
17,Yes,2,29.0,0,0,13.0,1,0,1
18,No,3,31.0,1,0,18.0,0,0,1
19,Yes,3,24.0,0,0,7.225,0,0,0
20,No,2,35.0,0,0,26.0,1,0,1
21,Yes,2,34.0,0,0,13.0,1,0,1
22,Yes,3,15.0,0,0,8.0292,0,1,0
23,Yes,1,28.0,0,0,35.5,1,0,1
24,No,3,8.0,3,1,21.075,0,0,1
25,Yes,3,38.0,1,5,31.3875,0,0,1
26,No,3,24.0,0,0,7.225,1,0,0
27,No,1,19.0,3,2,263.0,1,0,1
28,Yes,3,24.0,0,0,7.8792,0,1,0
29,No,3,24.0,0,0,7.8958,1,0,1
30,No,1,40.0,0,0,27.7208,1,0,0
31,Yes,1,37.0,1,0,146.5208,0,0,0
32,Yes,3,24.0,0,0,7.75,0,1,0
33,No,2,66.0,0,0,10.5,1,0,1
34,No,1,28.0,1,0,82.1708,1,0,0
35,No,1,42.0,1,0,52.0,1,0,1
36,Yes,3,24.0,0,0,7.2292,1,0,0
37,No,3,21.0,0,0,8.05,1,0,1
38,No,3,18.0,2,0,18.0,0,0,1
39,Yes,3,14.0,1,0,11.2417,0,0,0
40,No,3,40.0,1,0,9.475,0,0,1
41,No,2,27.0,1,0,21.0,0,0,1
42,No,3,24.0,0,0,7.8958,1,0,0
43,Yes,2,3.0,1,2,41.5792,0,0,0
44,Yes,3,19.0,0,0,7.8792,0,1,0
45,No,3,24.0,0,0,8.05,1,0,1
46,No,3,24.0,1,0,15.5,1,1,0
47,Yes,3,24.0,0,0,7.75,0,1,0
48,No,3,24.0,2,0,21.6792,1,0,0
49,No,3,18.0,1,0,17.8,0,0,1
50,No,3,7.0,4,1,39.6875,1,0,1
51,No,3,21.0,0,0,7.8,1,0,1
52,Yes,1,49.0,1,0,76.7292,0,0,0
53,Yes,2,29.0,1,0,26.0,0,0,1
54,No,1,65.0,0,1,61.9792,1,0,0
55,Yes,1,37.0,0,0,35.5,1,0,1
56,Yes,2,21.0,0,0,10.5,0,0,1
57,No,3,28.5,0,0,7.2292,1,0,0
58,Yes,2,5.0,1,2,27.75,0,0,1
59,No,3,11.0,5,2,46.9,1,0,1
60,No,3,22.0,0,0,7.2292,1,0,0
62,No,1,45.0,1,0,83.475,1,0,1
63,No,3,4.0,3,2,27.9,1,0,1
64,No,1,37.0,0,0,27.7208,1,0,0
65,Yes,3,24.0,1,1,15.2458,1,0,0
66,Yes,2,29.0,0,0,10.5,0,0,1
67,No,3,19.0,0,0,8.1583,1,0,1
68,Yes,3,17.0,4,2,7.925,0,0,1
69,No,3,26.0,2,0,8.6625,1,0,1
70,No,2,32.0,0,0,10.5,1,0,1
71,No,3,16.0,5,2,46.9,0,0,1
72,No,2,21.0,0,0,73.5,1,0,1
73,No,3,26.0,1,0,14.4542,1,0,0
74,Yes,3,32.0,0,0,56.4958,1,0,1
75,No,3,25.0,0,0,7.65,1,0,1
76,No,3,24.0,0,0,7.8958,1,0,1
77,No,3,24.0,0,0,8.05,1,0,1
78,Yes,2,0.83,0,2,29.0,1,0,1
79,Yes,3,30.0,0,0,12.475,0,0,1
80,No,3,22.0,0,0,9.0,1,0,1
81,Yes,3,29.0,0,0,9.5,1,0,1
82,Yes,3,24.0,0,0,7.7875,0,1,0
83,No,1,28.0,0,0,47.1,1,0,1
84,Yes,2,17.0,0,0,10.5,0,0,1
85,Yes,3,33.0,3,0,15.85,0,0,1
86,No,3,16.0,1,3,34.375,1,0,1
87,No,3,24.0,0,0,8.05,1,0,1
88,Yes,1,23.0,3,2,263.0,0,0,1
89,No,3,24.0,0,0,8.05,1,0,1
90,No,3,29.0,0,0,8.05,1,0,1
91,No,3,20.0,0,0,7.8542,1,0,1
92,No,1,46.0,1,0,61.175,1,0,1
93,No,3,26.0,1,2,20.575,1,0,1
94,No,3,59.0,0,0,7.25,1,0,1
95,No,3,24.0,0,0,8.05,1,0,1
96,No,1,71.0,0,0,34.6542,1,0,0
97,Yes,1,23.0,0,1,63.3583,1,0,0
98,Yes,2,34.0,0,1,23.0,0,0,1
99,No,2,34.0,1,0,26.0,1,0,1
100,No,3,28.0,0,0,7.8958,0,0,1
101,No,3,24.0,0,0,7.8958,1,0,1
102,No,1,21.0,0,1,77.2875,1,0,1
103,No,3,33.0,0,0,8.6542,1,0,1
104,No,3,37.0,2,0,7.925,1,0,1
105,No,3,28.0,0,0,7.8958,1,0,1
106,Yes,3,21.0,0,0,7.65,0,0,1
107,Yes,3,24.0,0,0,7.775,1,0,1
108,No,3,38.0,0,0,7.8958,1,0,1
109,Yes,3,24.0,1,0,24.15,0,1,0
110,No,1,47.0,0,0,52.0,1,0,1
111,No,3,14.5,1,0,14.4542,0,0,0
112,No,3,22.0,0,0,8.05,1,0,1
113,No,3,20.0,1,0,9.825,0,0,1
114,No,3,17.0,0,0,14.4583,0,0,0
115,No,3,21.0,0,0,7.925,1,0,1
116,No,3,70.5,0,0,7.75,1,1,0
117,No,2,29.0,1,0,21.0,1,0,1
118,No,1,24.0,0,1,247.5208,1,0,0
119,No,3,2.0,4,2,31.275,0,0,1
120,No,2,21.0,2,0,73.5,1,0,1
121,No,3,24.0,0,0,8.05,1,0,1
122,No,2,32.5,1,0,30.0708,1,0,0
123,Yes,2,32.5,0,0,13.0,0,0,1
124,No,1,54.0,0,1,77.2875,1,0,1
125,Yes,3,12.0,1,0,11.2417,1,0,0
126,No,3,24.0,0,0,7.75,1,1,0
127,Yes,3,24.0,0,0,7.1417,1,0,1
128,Yes,3,24.0,1,1,22.3583,0,0,0
129,No,3,45.0,0,0,6.975,1,0,1
130,No,3,33.0,0,0,7.8958,1,0,0
131,No,3,20.0,0,0,7.05,1,0,1
132,No,3,47.0,1,0,14.5,0,0,1
133,Yes,2,29.0,1,0,26.0,0,0,1
134,No,2,25.0,0,0,13.0,1,0,1
135,No,2,23.0,0,0,15.0458,1,0,0
136,Yes,1,19.0,0,2,26.2833,0,0,1
137,No,1,37.0,1,0,53.1,1,0,1
138,No,3,16.0,0,0,9.2167,1,0,1
139,No,1,24.0,0,0,79.2,1,0,0
140,No,3,24.0,0,2,15.2458,0,0,0
141,Yes,3,22.0,0,0,7.75,0,0,1
142,Yes,3,24.0,1,0,15.85,0,0,1
143,No,3,19.0,0,0,6.75,1,1,0
144,No,2,18.0,0,0,11.5,1,0,1
145,No,2,19.0,1,1,36.75,1,0,1
146,Yes,3,27.0,0,0,7.7958,1,0,1
147,No,3,9.0,2,2,34.375,0,0,1
148,No,2,36.5,0,2,26.0,1,0,1
149,No,2,42.0,0,0,13.0,1,0,1
150,No,2,51.0,0,0,12.525,1,0,1
151,Yes,1,22.0,1,0,66.6,0,0,1
152,No,3,55.5,0,0,8.05,1,0,1
153,No,3,40.5,0,2,14.5,1,0,1
154,No,3,24.0,0,0,7.3125,1,0,1
155,No,1,51.0,0,1,61.3792,1,0,0
156,Yes,3,16.0,0,0,7.7333,0,1,0
157,No,3,30.0,0,0,8.05,1,0,1
158,No,3,24.0,0,0,8.6625,1,0,1
159,No,3,24.0,8,2,69.55,1,0,1
160,No,3,44.0,0,1,16.1,1,0,1
161,Yes,2,40.0,0,0,15.75,0,0,1
162,No,3,26.0,0,0,7.775,1,0,1
163,No,3,17.0,0,0,8.6625,1,0,1
164,No,3,1.0,4,1,39.6875,1,0,1
165,Yes,3,9.0,0,2,20.525,1,0,1
166,Yes,1,37.0,0,1,55.0,0,0,1
167,No,3,45.0,1,4,27.9,0,0,1
168,No,1,37.0,0,0,25.925,1,0,1
169,No,3,28.0,0,0,56.4958,1,0,1
170,No,1,61.0,0,0,33.5,1,0,1
171,No,3,4.0,4,1,29.125,1,1,0
172,Yes,3,1.0,1,1,11.1333,0,0,1
173,No,3,21.0,0,0,7.925,1,0,1
174,No,1,56.0,0,0,30.6958,1,0,0
175,No,3,18.0,1,1,7.8542,1,0,1
176,No,3,24.0,3,1,25.4667,1,0,1
177,No,1,50.0,0,0,28.7125,0,0,0
178,No,2,30.0,0,0,13.0,1,0,1
179,No,3,36.0,0,0,0.0,1,0,1
180,No,3,24.0,8,2,69.55,0,0,1
181,No,2,29.0,0,0,15.05,1,0,0
182,No,3,9.0,4,2,31.3875,1,0,1
183,Yes,2,1.0,2,1,39.0,1,0,1
184,Yes,3,4.0,0,2,22.025,0,0,1
185,No,1,37.0,0,0,50.0,1,0,1
186,Yes,3,24.0,1,0,15.5,0,1,0
187,Yes,1,45.0,0,0,26.55,1,0,1
188,No,3,40.0,1,1,15.5,1,1,0
189,No,3,36.0,0,0,7.8958,1,0,1
190,Yes,2,32.0,0,0,13.0,0,0,1
191,No,2,19.0,0,0,13.0,1,0,1
192,Yes,3,19.0,1,0,7.8542,0,0,1
193,Yes,2,3.0,1,1,26.0,1,0,1
194,Yes,1,44.0,0,0,27.7208,0,0,0
195,Yes,1,58.0,0,0,146.5208,0,0,0
196,No,3,24.0,0,0,7.75,1,1,0
197,No,3,42.0,0,1,8.4042,1,0,1
198,Yes,3,24.0,0,0,7.75,0,1,0
199,No,2,24.0,0,0,13.0,0,0,1
200,No,3,28.0,0,0,9.5,1,0,1
